model,category1,category2,frame,price,Albuquerque Cycles,Ann Arbor Speed,Austin Cruisers,Cincinnati Speed,Columbus Race Equipment,Dallas Cycles,Denver Bike Shop,Detroit Cycles,Indianapolis Velocipedes,Ithaca Mountain Climbers,Kansas City 29ers,Las Vegas Cycles,Los Angeles Cycles,Louisville Race Equipment,Miami Race Equipment,Minneapolis Bike Shop,Nashville Cruisers,New Orleans Velocipedes,New York Cycles,Oklahoma City Race Equipment,Philadelphia Bike Shop,Phoenix Bi-peds,Pittsburgh Mountain Machines,Portland Bi-peds,Providence Bi-peds,San Antonio Bike Shop,San Francisco Cruisers,Seattle Race Equipment,Tampa 29ers,Wichita Speed
Bad Habit 1,Mountain,Trail,Aluminum,3200,0.017482517,0.006644518,0.008130081,0.00511509,0.010152284,0.012820513,0.011734029,0.009920635,0.006269592,0.018196203,0.018150389,0.001602564,0.006289308,0.007594937,0.004213483,0.01826484,0.00867052,0.018478261,0.007407407,0.012987013,0.024489796,0.011275546,0.015915119,0.010869565,0.009225092,0.021505376,0.002673797,0.015625,0.019417476,0.00591716
Bad Habit 2,Mountain,Trail,Aluminum,2660,0.006993007,0.009966777,0.004065041,0,0,0.017094017,0.013906997,0.015873016,0.003134796,0.011075949,0.015845578,0,0.009433962,0,0.011235955,0.01674277,0.01734104,0.002173913,0.007407407,0.00952381,0.004081633,0.019027484,0.00265252,0.010869565,0.02398524,0,0.002673797,0.0078125,0,0
Beast of the East 1,Mountain,Trail,Aluminum,2770,0.01048951,0.014950166,0.008130081,0,0,0.004273504,0.018252934,0.011904762,0.009404389,0.021360759,0.018150389,0.001602564,0.025157233,0,0.014044944,0.01674277,0.00867052,0.008695652,0.017283951,0.024242424,0,0.012684989,0.00530504,0.010869565,0.009225092,0.005376344,0,0.015625,0.009708738,0
Beast of the East 2,Mountain,Trail,Aluminum,2130,0.01048951,0.009966777,0.008130081,0,0.005076142,0.004273504,0.015210778,0.005952381,0.009404389,0.018196203,0.013828868,0,0.022012579,0.005063291,0.008426966,0.00761035,0.00867052,0.009782609,0.017283951,0.008658009,0,0.023255814,0.01061008,0.01552795,0.014760148,0.010752688,0.002673797,0.0234375,0.029126214,0.001972387
Beast of the East 3,Mountain,Trail,Aluminum,1620,0.003496503,0.003322259,0,0,0.002538071,0.004273504,0.016949153,0.011904762,0,0.01028481,0.018150389,0.003205128,0,0.005063291,0.004213483,0.0152207,0.020231214,0.004347826,0.004938272,0.005194805,0.020408163,0.016208598,0.00265252,0.020186335,0.007380074,0.032258065,0,0.0078125,0.009708738,0
CAAD Disc Ultegra,Road,Elite Road,Aluminum,2660,0.013986014,0.026578073,0.020325203,0.015345269,0.010152284,0,0.010864841,0.007936508,0.009404389,0,0.010659752,0.011217949,0.01572327,0.027848101,0.021067416,0.01826484,0.037572254,0.015217391,0.017283951,0.01038961,0.016326531,0.012684989,0.00265252,0.013975155,0.007380074,0.005376344,0.002673797,0.0078125,0,0.009861933
CAAD12 105,Road,Elite Road,Aluminum,1680,0.006993007,0.014950166,0.020325203,0.010230179,0.027918782,0.02991453,0.013472403,0.027777778,0.009404389,0.001582278,0.003457217,0.009615385,0.018867925,0.010126582,0.009831461,0.01065449,0.014450867,0.014130435,0.009876543,0.01038961,0.032653061,0.00845666,0,0.00931677,0.001845018,0.021505376,0.013368984,0.0234375,0,0.007889546
CAAD12 Black Inc,Road,Elite Road,Aluminum,5860,0,0.016611296,0.004065041,0.015345269,0.027918782,0.004273504,0.003042156,0.013888889,0.015673981,0.007120253,0.001728608,0.011217949,0.012578616,0.027848101,0.018258427,0.00608828,0.014450867,0.005434783,0,0.014718615,0.008163265,0.002818887,0.00530504,0.00310559,0.005535055,0,0.018716578,0,0,0.015779093
CAAD12 Disc 105,Road,Elite Road,Aluminum,1950,0.013986014,0.014950166,0.024390244,0.007672634,0.025380711,0.008547009,0.007388092,0.029761905,0.009404389,0.000791139,0.006626332,0.006410256,0.01572327,0.012658228,0.018258427,0.01369863,0.005780347,0.016304348,0.022222222,0.021645022,0.020408163,0.017618041,0,0.031055901,0.009225092,0.021505376,0.024064171,0.015625,0,0.007889546
CAAD12 Disc Dura Ace,Road,Elite Road,Aluminum,4260,0.048951049,0.008305648,0.008130081,0.017902813,0.012690355,0.008547009,0.001738375,0.005952381,0,0.007911392,0.00201671,0.012820513,0,0.025316456,0.012640449,0.00456621,0.005780347,0.006521739,0.002469136,0.00952381,0,0.005637773,0.026525199,0.00621118,0.005535055,0.005376344,0.016042781,0.015625,0.024271845,0.013806706
CAAD12 Red,Road,Elite Road,Aluminum,3200,0.013986014,0.026578073,0.016260163,0.028132992,0.017766497,0.02991453,0.00956106,0.01984127,0.05015674,0.013449367,0.007202535,0.006410256,0.009433962,0.020253165,0.014044944,0.01674277,0.023121387,0.02173913,0.009876543,0.015584416,0.004081633,0.009866103,0.01061008,0.007763975,0.009225092,0.010752688,0.042780749,0.015625,0.009708738,0.01183432
CAAD12 Ultegra,Road,Elite Road,Aluminum,2240,0.013986014,0.013289037,0.032520325,0.007672634,0.017766497,0,0.013906997,0.005952381,0.021943574,0.000791139,0.005762028,0.004807692,0.009433962,0.002531646,0.019662921,0.02130898,0.028901734,0.02173913,0.009876543,0.014718615,0.020408163,0.012684989,0.00265252,0.01863354,0.007380074,0,0.018716578,0.0078125,0,0.009861933
CAAD8 105,Road,Elite Road,Aluminum,1410,0.027972028,0.023255814,0.012195122,0.015345269,0.015228426,0.012820513,0.008691873,0.021825397,0.009404389,0.001582278,0.010083549,0.019230769,0.003144654,0.017721519,0.015449438,0.01369863,0.040462428,0.020652174,0.022222222,0.014718615,0.004081633,0.016208598,0.00265252,0.01863354,0.018450185,0.005376344,0.005347594,0.015625,0,0.01183432
